"LEM_ADAMSS"

"Time      "	".rama_wahacz_L.Element_Force.X"	".rama_wahacz_L.Element_Force.Y"	".rama_wahacz_P.Element_Force.X"	".rama_wahacz_P.Element_Force.Y"	".link_wahacz.Element_Force.X"	".link_wahacz.Element_Force.Y"
0.000000e+00	-7.653465e+00	-3.794550e+00	-7.600588e+00	-3.640226e+00	1.525998e+00	8.755370e-01
5.000000e-03	-5.948763e+01	-7.798489e+00	-5.964526e+01	-8.225733e+00	1.006610e+02	3.774049e+01
1.000000e-02	-9.201285e+01	-1.034668e+01	-9.228990e+01	-1.112279e+01	1.630068e+02	6.094919e+01
1.500000e-02	-1.119224e+02	-1.196140e+01	-1.122694e+02	-1.294981e+01	2.012365e+02	7.524772e+01
2.000000e-02	-1.243291e+02	-1.304958e+01	-1.247160e+02	-1.416967e+01	2.251576e+02	8.430777e+01
2.500000e-02	-1.321842e+02	-1.384311e+01	-1.325926e+02	-1.504631e+01	2.404183e+02	9.024364e+01
3.000000e-02	-1.371263e+02	-1.447083e+01	-1.375442e+02	-1.572684e+01	2.501666e+02	9.423125e+01
3.500000e-02	-1.401349e+02	-1.500753e+01	-1.405542e+02	-1.629685e+01	2.562779e+02	9.696889e+01
3.861669e-02	-1.546755e+02	-5.497971e+01	-1.293850e+02	-8.928750e+00	7.485230e+02	2.789982e+02
4.000000e-02	-6.826513e+02	-7.964134e+01	-6.703075e+02	-6.120059e+01	1.518518e+03	5.722210e+02
4.406945e-02	-8.448053e+02	-7.985005e+01	-8.443152e+02	-8.222500e+01	1.669864e+03	6.275322e+02
4.500000e-02	-8.327081e+02	-7.904529e+01	-8.318550e+02	-8.071690e+01	1.651743e+03	6.198449e+02
4.843055e-02	-8.238140e+02	-7.939779e+01	-8.216644e+02	-7.869360e+01	1.656432e+03	6.184993e+02
5.000000e-02	-8.339656e+02	-7.857056e+01	-8.326337e+02	-7.948127e+01	1.658763e+03	6.182111e+02
5.500000e-02	-8.513160e+02	-7.907580e+01	-8.498022e+02	-7.982677e+01	1.692579e+03	6.265710e+02
6.000000e-02	-8.520544e+02	-7.853001e+01	-8.505624e+02	-7.913168e+01	1.698105e+03	6.244795e+02
6.416667e-02	-8.501442e+02	-7.799354e+01	-8.484364e+02	-7.812061e+01	1.699813e+03	6.217350e+02
6.500000e-02	-8.518983e+02	-7.764073e+01	-8.503129e+02	-7.806433e+01	1.698810e+03	6.207561e+02
7.000000e-02	-8.558448e+02	-7.786326e+01	-8.536834e+02	-7.724906e+01	1.717471e+03	6.237045e+02
7.500000e-02	-8.523788e+02	-7.574059e+01	-8.508268e+02	-7.623479e+01	1.697364e+03	6.129754e+02
8.000000e-02	-8.517412e+02	-7.538257e+01	-8.498256e+02	-7.519934e+01	1.703370e+03	6.117379e+02
8.500000e-02	-8.395969e+02	-7.589836e+01	-8.362515e+02	-7.302087e+01	1.711391e+03	6.112522e+02
8.654024e-02	-8.417703e+02	-7.322995e+01	-8.401951e+02	-7.353550e+01	1.678705e+03	5.989037e+02
8.865518e-02	-8.397551e+02	-7.282780e+01	-8.379882e+02	-7.285553e+01	1.675996e+03	5.967029e+02
9.000000e-02	-8.387872e+02	-7.235715e+01	-8.371640e+02	-7.264967e+01	1.670977e+03	5.941970e+02
9.500000e-02	-8.346293e+02	-7.282246e+01	-8.319180e+02	-7.111955e+01	1.684936e+03	5.962690e+02
1.000000e-01	-8.283104e+02	-7.009806e+01	-8.267359e+02	-7.044541e+01	1.648332e+03	5.810647e+02
1.050000e-01	-8.247898e+02	-6.977034e+01	-8.228202e+02	-6.939849e+01	1.649280e+03	5.790987e+02
1.100000e-01	-8.122333e+02	-6.825443e+01	-8.104007e+02	-6.805467e+01	1.623375e+03	5.680296e+02
1.150000e-01	-8.104719e+02	-6.725797e+01	-8.087841e+02	-6.734066e+01	1.614666e+03	5.631246e+02
1.200000e-01	-8.027588e+02	-6.618040e+01	-8.011045e+02	-6.629436e+01	1.598587e+03	5.558407e+02
1.250000e-01	-7.977061e+02	-6.550391e+01	-7.959492e+02	-6.542606e+01	1.590339e+03	5.514266e+02
1.300000e-01	-7.898161e+02	-6.539961e+01	-7.874071e+02	-6.413861e+01	1.588345e+03	5.492857e+02
1.322929e-01	-7.815642e+02	-6.390765e+01	-7.797742e+02	-6.367931e+01	1.560111e+03	5.390673e+02
1.350000e-01	-7.801301e+02	-6.350483e+01	-7.783750e+02	-6.337548e+01	1.555176e+03	5.367703e+02
1.400000e-01	-7.781652e+02	-6.290429e+01	-7.765648e+02	-6.309887e+01	1.547599e+03	5.331823e+02
1.450000e-01	-7.689456e+02	-6.128145e+01	-7.678563e+02	-6.228635e+01	1.518784e+03	5.223788e+02
1.500000e-01	-7.619008e+02	-6.192912e+01	-7.597854e+02	-6.107915e+01	1.527288e+03	5.243700e+02
1.550000e-01	-7.599124e+02	-6.071857e+01	-7.584086e+02	-6.098716e+01	1.508989e+03	5.174735e+02
1.600000e-01	-7.526671e+02	-6.075766e+01	-7.506115e+02	-6.000941e+01	1.506852e+03	5.160492e+02
1.650000e-01	-7.560843e+02	-6.152897e+01	-7.534402e+02	-5.979117e+01	1.524956e+03	5.215982e+02
1.672114e-01	-7.481257e+02	-5.982160e+01	-7.464114e+02	-5.964285e+01	1.491202e+03	5.099593e+02
1.700000e-01	-7.467070e+02	-5.958010e+01	-7.449644e+02	-5.939897e+01	1.487352e+03	5.084024e+02
1.750000e-01	-7.457556e+02	-5.943085e+01	-7.439720e+02	-5.918658e+01	1.485944e+03	5.075197e+02
1.800000e-01	-7.468343e+02	-6.015147e+01	-7.444379e+02	-5.884736e+01	1.500600e+03	5.120750e+02
1.822952e-01	-7.381426e+02	-5.881774e+01	-7.363588e+02	-5.850954e+01	1.472082e+03	5.022824e+02
1.850000e-01	-7.381169e+02	-5.865309e+01	-7.363544e+02	-5.842878e+01	1.470116e+03	5.014702e+02
1.900000e-01	-7.383965e+02	-5.860431e+01	-7.366137e+02	-5.835719e+01	1.470714e+03	5.014138e+02
1.950000e-01	-7.399779e+02	-5.928707e+01	-7.376663e+02	-5.812936e+01	1.484628e+03	5.058455e+02
1.975406e-01	-7.325919e+02	-5.833528e+01	-7.306556e+02	-5.777297e+01	1.463314e+03	4.985348e+02
2.000000e-01	-7.327634e+02	-5.808503e+01	-7.309681e+02	-5.780180e+01	1.459696e+03	4.972375e+02
2.050000e-01	-7.341047e+02	-5.808096e+01	-7.323253e+02	-5.784674e+01	1.461480e+03	4.976777e+02
2.100000e-01	-7.369167e+02	-5.850262e+01	-7.349004e+02	-5.787521e+01	1.471624e+03	5.009296e+02
2.150000e-01	-7.296619e+02	-5.690467e+01	-7.284793e+02	-5.772112e+01	1.439488e+03	4.900082e+02
2.200000e-01	-7.258432e+02	-5.829189e+01	-7.234527e+02	-5.687438e+01	1.460717e+03	4.969229e+02
2.250000e-01	-7.290634e+02	-5.712618e+01	-7.275955e+02	-5.745075e+01	1.443997e+03	4.912787e+02
2.300000e-01	-7.261412e+02	-5.802529e+01	-7.238132e+02	-5.679740e+01	1.457512e+03	4.956821e+02
2.350000e-01	-7.368466e+02	-5.750392e+01	-7.354114e+02	-5.796110e+01	1.457111e+03	4.955914e+02
2.400000e-01	-7.274302e+02	-5.680650e+01	-7.260584e+02	-5.730326e+01	1.438443e+03	4.891908e+02
2.450000e-01	-7.503477e+02	-5.791964e+01	-7.488500e+02	-5.859556e+01	1.476222e+03	5.019101e+02
2.500000e-01	-7.191955e+02	-5.763890e+01	-7.167969e+02	-5.618612e+01	1.447755e+03	4.919610e+02
2.533333e-01	-7.258363e+02	-5.750135e+01	-7.237044e+02	-5.668037e+01	1.450752e+03	4.930274e+02
2.550000e-01	-7.276504e+02	-5.685466e+01	-7.261149e+02	-5.710756e+01	1.440999e+03	4.897989e+02
2.600000e-01	-1.855880e+03	7.279296e+01	-1.855226e+03	7.731985e+01	1.566978e+03	5.333755e+02
2.650000e-01	-8.384119e+02	-4.873973e+01	-8.375884e+02	-4.974090e+01	1.497507e+03	5.082700e+02
2.700000e-01	-7.545468e+02	-5.645588e+01	-7.530865e+02	-5.683710e+01	1.473088e+03	4.997853e+02
2.747430e-01	-7.519519e+02	-5.928539e+01	-7.495641e+02	-5.814053e+01	1.506557e+03	5.108780e+02
2.750000e-01	-7.647976e+02	-5.874245e+01	-7.632372e+02	-5.931066e+01	1.507424e+03	5.112771e+02
