"LEM_ADAMSS"

"Time      "	".tyl_kolo.Element_Force.X"	".tyl_kolo.Element_Force.Y"
0.000000e+00	-6.035888e-12	4.843331e-11
1.000000e-02	1.006546e-10	2.304918e-10
2.000000e-02	-2.261015e-12	6.570961e-11
3.000000e-02	-1.435463e-11	-4.651532e-11
4.000000e-02	-3.194733e-12	-2.061964e-11
4.293667e-02	4.559619e+00	-5.061010e+00
4.804606e-02	-4.187476e+01	-2.832039e+02
5.000000e-02	-2.069281e+01	-2.768382e+02
6.000000e-02	-1.113245e+01	-2.135595e+02
6.700680e-02	-3.154143e+00	-1.876769e+02
7.000000e-02	-4.875000e+00	-1.824978e+02
8.000000e-02	-1.929994e+00	-1.689411e+02
8.497094e-02	-4.446162e+00	-1.663485e+02
8.892115e-02	-4.455235e+00	-1.651697e+02
9.000000e-02	8.614703e-01	-1.623259e+02
1.000000e-01	-1.979506e+00	-1.616668e+02
1.027696e-01	2.522766e-01	-1.614083e+02
1.100000e-01	-2.920789e+00	-1.629115e+02
1.171157e-01	1.810743e+00	-1.615152e+02
1.200000e-01	-9.897446e-01	-1.633377e+02
1.286025e-01	-1.715220e+00	-1.649012e+02
1.300000e-01	-3.625442e-01	-1.646414e+02
1.352639e-01	1.196196e+00	-1.649544e+02
1.400000e-01	-1.523017e+00	-1.665041e+02
1.500000e-01	-9.899022e-01	-1.685543e+02
1.600000e-01	8.691710e-01	-1.682208e+02
1.700000e-01	-3.414719e-01	-1.708611e+02
1.800000e-01	1.734161e-01	-1.718760e+02
1.900000e-01	1.742180e-01	-1.728552e+02
2.000000e-01	-2.976683e+00	-1.754681e+02
2.100000e-01	-1.500708e-01	-1.753806e+02
2.200000e-01	-6.913132e-03	-1.767662e+02
2.234758e-01	2.284022e+00	-1.762403e+02
2.300000e-01	-1.409976e+00	-1.783003e+02
2.400000e-01	1.294056e+00	-1.776332e+02
2.438825e-01	2.097921e+00	-1.775938e+02
2.500000e-01	-7.136108e-02	-1.786398e+02
2.600000e-01	-6.958842e-01	-1.801087e+02
2.633156e-01	2.060921e+00	-1.786026e+02
2.700000e-01	-9.077563e-01	-1.808962e+02
2.734831e-01	1.523843e+00	-1.798557e+02
2.774762e-01	2.244269e+00	-1.791918e+02
2.800000e-01	-1.085433e-02	-1.807493e+02
2.856978e-01	1.733579e+00	-1.804321e+02
2.900000e-01	-5.597169e-01	-1.818613e+02
2.960616e-01	1.375158e+00	-1.813431e+02
3.000000e-01	1.308125e+00	-1.813988e+02
3.042639e-01	1.289734e+00	-1.818302e+02
3.100000e-01	6.669645e-01	-1.821001e+02
3.128589e-01	1.555077e+00	-1.821426e+02
3.186960e-01	1.265025e+00	-1.823820e+02
3.200000e-01	-2.590835e-01	-1.832030e+02
3.300000e-01	-1.130299e+00	-1.834872e+02
3.331746e-01	1.291419e+00	-1.828665e+02
3.400000e-01	1.068276e+00	-1.838852e+02
3.459207e-01	2.280607e+00	-1.827462e+02
3.500000e-01	1.659802e-01	-1.838812e+02
3.561436e-01	9.212063e-01	-1.842422e+02
3.600000e-01	6.388624e-01	-1.841175e+02
3.691500e-01	1.301901e+00	-1.843700e+02
3.700000e-01	-2.018692e+00	-1.859010e+02
3.730138e-01	1.498270e+00	-1.841694e+02
3.792487e-01	1.507060e+00	-1.837240e+02
3.800000e-01	-1.355404e-01	-1.847987e+02
3.900000e-01	6.578213e-01	-1.852441e+02
3.942476e-01	8.950251e-01	-1.848744e+02
3.991378e-01	1.308991e+00	-1.853580e+02
4.000000e-01	-2.050923e+00	-1.868850e+02
4.029678e-01	1.417737e+00	-1.851175e+02
4.100000e-01	-1.064491e-01	-1.855821e+02
4.200000e-01	6.441722e-01	-1.860129e+02
4.242657e-01	8.925151e-01	-1.856089e+02
4.291556e-01	1.320712e+00	-1.860314e+02
4.300000e-01	-2.022407e+00	-1.875727e+02
4.330072e-01	1.473855e+00	-1.857554e+02
4.400000e-01	-1.089223e-01	-1.862202e+02
4.500000e-01	6.063778e-01	-1.865639e+02
4.535596e-01	-1.583533e+00	-1.874383e+02
4.594248e-01	1.259482e+00	-1.866182e+02
4.600000e-01	-1.602445e+00	-1.881917e+02
4.633447e-01	1.411286e+00	-1.862593e+02
4.700000e-01	-4.810197e-02	-1.866920e+02
4.766076e-01	1.188631e+00	-1.863069e+02
4.800000e-01	2.648654e-01	-1.870579e+02
4.853506e-01	1.391656e+00	-1.866473e+02
4.900000e-01	-6.096359e-01	-1.877051e+02
4.949408e-01	-9.050127e-01	-1.876658e+02
5.000000e-01	6.843780e-01	-1.869552e+02
