"LEM_ADAMSS"

"Time      "	".rama_wahacz_L.Element_Force.X"	".rama_wahacz_L.Element_Force.Y"	".link_wahacz.Element_Force.X"	".link_wahacz.Element_Force.Y"	".kolo_tyl_wahacz.Element_Force.X"	".kolo_tyl_wahacz.Element_Force.Y"
0.000000e+00	5.058255e-10	-6.591381e-11	-2.254561e-10	-8.537354e-11	7.787400e-10	-2.197914e-10
1.500000e-02	-2.478358e-09	1.185150e-09	-4.466430e-10	-1.636507e-10	1.813797e-09	-4.170411e-10
3.000000e-02	-5.719042e-10	3.476642e-10	-6.335345e-10	-2.334124e-10	6.222874e-10	-2.693141e-10
4.288754e-02	-5.538103e-02	6.338877e-03	1.346825e-03	8.171441e-04	-1.124897e-01	2.795342e-02
4.500000e-02	-3.159098e+02	-2.169538e+02	1.929892e+03	7.149402e+02	1.287957e+03	3.681922e+02
5.149743e-02	-1.036449e+03	-8.988569e+01	2.007398e+03	7.370901e+02	-6.353536e+01	6.364231e+02
6.000000e-02	-9.066998e+02	-9.927396e+01	1.985632e+03	7.177290e+02	1.789605e+02	5.677372e+02
7.500000e-02	-9.770321e+02	-7.483994e+01	1.902409e+03	6.722645e+02	-4.606891e+01	5.741537e+02
9.000000e-02	-9.479932e+02	-6.170924e+01	1.778847e+03	6.168909e+02	-1.121151e+02	5.399570e+02
1.050000e-01	-8.288871e+02	-7.403314e+01	1.691858e+03	5.787454e+02	3.367664e+01	4.990808e+02
1.200000e-01	-8.036062e+02	-6.199203e+01	1.601058e+03	5.419209e+02	-3.866025e+00	4.676731e+02
1.291857e-01	-7.777582e+02	-6.121737e+01	1.551972e+03	5.231163e+02	-2.355125e+00	4.545722e+02
1.350000e-01	-7.724994e+02	-5.483079e+01	1.504190e+03	5.058621e+02	-3.857416e+01	4.421721e+02
1.440702e-01	-7.666360e+02	-5.105819e+01	1.477271e+03	4.953730e+02	-5.291060e+01	4.330439e+02
1.500000e-01	-7.218576e+02	-5.880932e+01	1.475906e+03	4.943579e+02	3.397163e+01	4.235262e+02
1.638311e-01	-7.501726e+02	-4.673220e+01	1.424579e+03	4.760749e+02	-7.235056e+01	4.182124e+02
1.650000e-01	-7.152759e+02	-5.273921e+01	1.407505e+03	4.705336e+02	-2.171431e+01	4.118640e+02
1.800000e-01	-6.989732e+02	-5.032988e+01	1.372116e+03	4.582486e+02	-2.397084e+01	4.000616e+02
1.950000e-01	-6.895969e+02	-4.743713e+01	1.333616e+03	4.454134e+02	-4.367257e+01	3.912989e+02
2.100000e-01	-6.749735e+02	-5.013425e+01	1.341444e+03	4.481676e+02	-6.472289e+00	3.880732e+02
2.250000e-01	-7.111405e+02	-3.911744e+01	1.306465e+03	4.366194e+02	-1.122130e+02	3.880450e+02
2.305958e-01	-6.578142e+02	-5.048573e+01	1.309255e+03	4.378893e+02	-5.176008e+00	3.809939e+02
2.400000e-01	-6.656723e+02	-4.906457e+01	1.310371e+03	4.384664e+02	-1.942730e+01	3.823590e+02
2.535139e-01	-6.716591e+02	-4.673254e+01	1.306749e+03	4.374621e+02	-3.424394e+01	3.812180e+02
2.550000e-01	-6.408937e+02	-5.351928e+01	1.313390e+03	4.398297e+02	3.268804e+01	3.773968e+02
