"LEM_ADAMSS"

"Time      "	".rama_wahacz_P.Element_Force.X"	".rama_wahacz_P.Element_Force.Y"	".rama_wahacz_L.Element_Force.X"	".rama_wahacz_L.Element_Force.Y"	".link_wahacz.Element_Force.X"	".link_wahacz.Element_Force.Y"
0.000000e+00	1.039652e+00	-9.535930e+00	1.042129e+00	-9.560030e+00	4.549563e+00	3.504132e+00
7.500000e-03	2.499044e+01	-8.407572e+00	2.504723e+01	-8.429417e+00	-4.679789e+01	-1.542108e+01
1.500000e-02	3.788015e+01	-7.835162e+00	3.796616e+01	-7.855885e+00	-7.456263e+01	-2.564990e+01
2.250000e-02	4.408981e+01	-7.597190e+00	4.418990e+01	-7.617474e+00	-8.809440e+01	-3.063017e+01
3.000000e-02	4.630281e+01	-7.557941e+00	4.640792e+01	-7.578191e+00	-9.311178e+01	-3.247108e+01
3.750000e-02	4.614780e+01	-7.635150e+00	4.625255e+01	-7.655603e+00	-9.308482e+01	-3.245252e+01
4.500000e-02	4.460359e+01	-7.779660e+00	4.470483e+01	-7.800452e+00	-9.009857e+01	-3.134345e+01
5.250000e-02	4.227154e+01	-7.961577e+00	4.236749e+01	-7.982785e+00	-8.543362e+01	-2.961608e+01
6.000000e-02	3.951186e+01	-8.163119e+00	3.960154e+01	-8.184782e+00	-7.985769e+01	-2.755340e+01
6.750000e-02	3.654799e+01	-8.373218e+00	3.663094e+01	-8.395352e+00	-7.384886e+01	-2.533162e+01
7.500000e-02	3.347498e+01	-8.587172e+00	3.355096e+01	-8.609786e+00	-6.761150e+01	-2.302601e+01
8.250000e-02	3.036313e+01	-8.802266e+00	3.043205e+01	-8.825362e+00	-6.129084e+01	-2.068998e+01
9.000000e-02	2.725558e+01	-9.016162e+00	2.731745e+01	-9.039736e+00	-5.498233e+01	-1.835867e+01
9.750000e-02	2.417807e+01	-9.227806e+00	2.423295e+01	-9.251854e+00	-4.874056e+01	-1.605212e+01
1.050000e-01	2.114315e+01	-9.436732e+00	2.119114e+01	-9.461249e+00	-4.259236e+01	-1.378016e+01
1.125000e-01	1.815538e+01	-9.642847e+00	1.819659e+01	-9.667826e+00	-3.654745e+01	-1.154632e+01
1.200000e-01	1.521472e+01	-9.846271e+00	1.524925e+01	-9.871706e+00	-3.060574e+01	-9.350532e+00
1.275000e-01	1.231871e+01	-1.004723e+01	1.234667e+01	-1.007311e+01	-2.476191e+01	-7.190791e+00
1.350000e-01	9.463774e+00	-1.024598e+01	9.485253e+00	-1.027231e+01	-1.900823e+01	-5.064217e+00
1.425000e-01	6.645907e+00	-1.044280e+01	6.660990e+00	-1.046958e+01	-1.333610e+01	-2.967618e+00
1.500000e-01	3.861127e+00	-1.063796e+01	3.869888e+00	-1.066518e+01	-7.736918e+00	-8.978055e-01
1.575000e-01	1.105655e+00	-1.083169e+01	1.108162e+00	-1.085935e+01	-2.202530e+00	1.148241e+00
1.650000e-01	-1.623986e+00	-1.102422e+01	-1.627677e+00	-1.105232e+01	3.274575e+00	3.173303e+00
1.725000e-01	-4.330947e+00	-1.121575e+01	-4.340782e+00	-1.124427e+01	8.701200e+00	5.179895e+00
1.800000e-01	-7.018046e+00	-1.140644e+01	-7.033981e+00	-1.143540e+01	1.408345e+01	7.170274e+00
1.875000e-01	-9.687794e+00	-1.159646e+01	-9.709790e+00	-1.162585e+01	1.942675e+01	9.146446e+00
1.950000e-01	-1.234242e+01	-1.178594e+01	-1.237044e+01	-1.181575e+01	2.473592e+01	1.111019e+01
2.025000e-01	-1.498389e+01	-1.197500e+01	-1.501790e+01	-1.200524e+01	3.001524e+01	1.306308e+01
2.100000e-01	-1.761394e+01	-1.216374e+01	-1.765393e+01	-1.219440e+01	3.526848e+01	1.500652e+01
