"LEM_ADAMSS"

"Time      "	".JOINT_38.Element_Force.X"	".JOINT_38.Element_Force.Y"
0.000000e+00	-1.103857e+01	1.164056e+01
1.000000e-02	-1.532137e+01	6.383580e+01
2.000000e-02	-1.686048e+01	8.397216e+01
3.000000e-02	-1.708850e+01	9.211349e+01
3.788320e-02	1.416307e+02	3.543385e+01
4.000000e-02	1.274403e+02	3.867811e+02
4.452990e-02	-5.637628e+00	5.151958e+02
5.000000e-02	9.708632e+00	5.090411e+02
6.000000e-02	8.026637e+00	5.124701e+02
7.000000e-02	8.196387e+00	5.081994e+02
7.786466e-02	2.851456e+00	5.023972e+02
8.000000e-02	-2.229881e-01	5.028958e+02
9.000000e-02	-1.941170e-01	4.924244e+02
1.000000e-01	2.547650e+00	4.849042e+02
1.063778e-01	-8.660807e+00	4.816632e+02
1.100000e-01	-2.144952e+00	4.758345e+02
1.200000e-01	-2.917283e+00	4.658872e+02
1.300000e-01	1.098213e+01	4.528063e+02
1.387311e-01	-1.533884e+01	4.559807e+02
1.400000e-01	-3.693545e+00	4.471626e+02
1.500000e-01	-1.434967e+01	4.406313e+02
1.600000e-01	-8.472367e+00	4.347169e+02
1.700000e-01	7.864711e+00	4.281727e+02
1.800000e-01	-3.398879e+01	4.309869e+02
1.879236e-01	-3.964531e+01	4.431957e+02
1.900000e-01	5.208667e+00	4.249872e+02
2.000000e-01	-4.969153e+00	4.208694e+02
2.100000e-01	-1.637974e+00	4.184398e+02
2.157415e-01	-1.128515e+01	4.214070e+02
2.200000e-01	-3.106566e+00	4.187335e+02
2.300000e-01	-1.348314e+01	4.183558e+02
2.400000e-01	-1.851869e+01	4.228578e+02
2.500000e-01	5.627131e-01	4.206326e+02
2.600000e-01	-1.570021e+03	6.177800e+02
2.700000e-01	1.233521e-01	4.218676e+02
2.752347e-01	-7.651135e+00	4.326372e+02
2.800000e-01	-9.655887e+00	4.301091e+02
2.900000e-01	-9.368593e+00	4.278090e+02
3.000000e-01	-1.795359e+01	4.347667e+02
3.100000e-01	-7.496258e+00	4.267301e+02
3.200000e-01	-6.896213e-01	4.260406e+02
3.300000e-01	-2.073464e+00	4.286846e+02
3.400000e-01	2.046448e+00	4.262500e+02
3.500000e-01	-4.464031e+02	4.902204e+02
3.562116e-01	-6.762488e+02	5.183785e+02
3.600000e-01	-2.579956e+02	4.670262e+02
3.700000e-01	-8.293499e+01	4.614602e+02
3.800000e-01	-7.520356e-02	4.312968e+02
3.900000e-01	-2.221278e+01	4.450932e+02
4.000000e-01	-1.903543e+02	4.671009e+02
4.067680e-01	-1.735247e+02	4.641313e+02
4.100000e-01	-1.427151e+02	4.579190e+02
4.179701e-01	-1.048520e+02	4.533422e+02
4.200000e-01	-9.867238e+01	4.571737e+02
4.300000e-01	-1.112594e+02	4.579295e+02
4.355616e-01	-1.245425e+02	4.636966e+02
4.400000e-01	-1.341857e+02	4.606669e+02
4.500000e-01	-1.312839e+02	4.634183e+02
4.600000e-01	-1.284754e+02	4.645703e+02
4.700000e-01	-1.341570e+02	4.664952e+02
4.800000e-01	-1.453699e+02	4.736061e+02
4.900000e-01	-1.442809e+02	4.703373e+02
4.976231e-01	-1.397308e+02	4.726147e+02
5.000000e-01	-1.430705e+02	4.707630e+02
5.100000e-01	-1.512945e+02	4.789025e+02
5.184941e-01	-1.410642e+02	4.756986e+02
5.200000e-01	-1.545324e+02	4.756989e+02
5.300000e-01	-1.537116e+02	4.757969e+02
5.400000e-01	-1.503292e+02	4.794791e+02
5.500000e-01	-1.591152e+02	4.848934e+02
5.600000e-01	-1.614660e+02	4.841912e+02
5.675567e-01	-1.611189e+02	4.864286e+02
5.700000e-01	-1.652366e+02	4.841527e+02
5.800000e-01	-1.597680e+02	4.886867e+02
5.900000e-01	-1.582202e+02	4.941549e+02
5.927111e-01	-1.605221e+02	4.895544e+02
5.990039e-01	-1.640773e+02	4.901164e+02
6.000000e-01	-1.712108e+02	4.937680e+02
6.089963e-01	-1.719084e+02	4.967940e+02
6.100000e-01	-1.679245e+02	4.940016e+02
6.200000e-01	-1.776642e+02	4.973672e+02
6.300000e-01	-1.786396e+02	4.993975e+02
